symbol,asset_turnover,current_ratio,dividend_yield,eps,fut_return,on_bal_vol,operating_leverage,payout_ratio,price,price/book,price/cashflow,price/earnings,price/earnings/growth,profit_margin,roa,roe,ros,rsi,sector,stddev,stoch_osc,vol_roc,p/e,peg,p/b,p/cf
FITB,0.0498362654343,,2.6015679650099997,2.01,-21.6417962823,-33644200.0,,0.258706467662,19.987946,,6.665987768659999,9.94425174129,0.47164165401600006,23.2826056038,1.16031811287,10.3150598614,,46.1278088543,Financials,2.14037365585,46.302670768,-46.0,-39.8426550739,-89.484086356,,-39.5054069719
GPC,1.8760556926599998,1.4097446769,2.8936657245599995,4.63,-2.30526898324,-2323200.0,,0.5313174946,85.013275,3.0687526595700003,11.127907260999999,18.3613984881,42.323023515100004,4.61825895266,8.66411099833,22.3367503977,8.37267876977,49.3475242616,Consumer Discretionary,1.55041692317,59.0793213481,-31.0,-26.1363201477,9296.94404937,10.7887044977,85.1790278707
XLNX,0.48536391411700003,4.08536803135,2.4236761906799997,2.35,6.238033290569999,-10991400.0,-3.77249394401,0.493617021277,47.861179,3.2313510238800003,16.078948201099998,20.366459148900002,2.78765909601,27.266394766599998,13.2341240878,24.8207033712,31.761411053699998,50.49806546,Information Technology,2.07871438528,27.1086722002,-21.0,-35.0170733838,24.069860425999998,-2.6688204783500002,19.7700847471
HAS,0.942125740645,2.6915944909400005,2.63963424884,3.57,10.216792552200001,-5237900.0,2.23565323024,0.515406162465,69.706627,2.3863553630500003,15.7928522336,19.525665826300003,1.68870623363,10.1593498743,9.57138502477,27.1553252535,15.5577650321,33.7531821059,Consumer Discretionary,1.8723651414400002,52.5637549301,-59.0,-21.4527406269,274.941974256,-13.8473352295,162.808177255
CTXS,0.597579321339,1.0017739768,0.0,1.99,-6.278912243759999,1989700.0,3.74168194681,0.0,61.976429,2.5910463195099998,9.51835121701,31.143934170900003,0.880415062138,9.74971257122,5.82622662155,16.1829105027,10.687679852899999,48.818491125200005,Information Technology,2.16257547692,24.625182790100002,-56.0,-0.629560889086,-60.815519360799996,-21.9553701812,-29.098985975
GPS,2.13719115735,1.93240823635,0.0,2.87,1.10338823494,-17849200.0,-1.72800249042,0.0,24.717604,1.97148449338,5.052334145540001,8.612405574910001,1.8152300981,7.67873440828,16.410923277000002,42.3064029501,12.674170976600001,49.5786078475,Consumer Discretionary,3.1278170210600003,0.0,-31.0,-65.35427469999999,303.033957687,-28.8250839385,-15.9243239896
SYF,0.004659178700899999,,0.0,2.65,-6.37947945095,-36369800.0,,0.0,31.548748,,79.5727136842,11.9051879245,-2.54587864848,564.795918367,2.6314851132099997,17.565852110399998,,51.4113031276,Financials,1.83222988438,76.2709975667,-64.0,-27.9800516903,-156.76394310700002,,622.131377603
PHM,0.667096828873,,1.7444980645599997,1.36,-7.35128006043,-21686200.0,,0.24264705882399998,18.916616,,-19.328835497,13.9092764706,1.7525688352900002,8.20611758947,5.4742750212999995,10.314214725800001,,49.327185190600005,Consumer Discretionary,2.17953389918,61.5380639929,-51.0,-44.0461822739,289.121332082,,-421.650323216
SYK,0.612174555303,2.26777048244,1.50197235507,3.78,6.70324575528,-7641700.0,17.6213329148,0.374338624339,94.209457,2.78474971947,39.4759181589,24.9231367725,0.136872964242,14.4681278906,8.857019757489999,16.9075314299,18.711039613900002,50.9219070303,Health Care,1.43453850109,52.2853788234,-32.0,-76.98515315430001,-54.2686065071,-7.930420827969999,88.7479892844
SYY,2.7060977033999998,1.22284838262,3.01555621554,1.15,6.052877491089999,-15245300.0,-4.8453504698400005,1.0347826087,39.46204,2.7199347084,15.0199749319,34.314817391300004,-1.26087003438,1.4107690859,3.81767898339,13.0559649171,2.52535540125,47.59028122189999,Consumer Staples,1.5134558216499998,44.9992980121,-27.0,56.963991685399996,-385.424794906,2.46938893385,8.859958772
AEP,0.0181005818449,0.5728916086379999,4.0635465345199995,4.17,6.0408421385899995,11232000.0,,0.515587529976,52.909447,0.47593283091000005,5.469674621219999,12.6881167866,0.510582049002,183.349753695,3.3187372230000003,11.4331830951,298.566950291,48.684255225,Utilities,1.3600414110799999,85.5505803219,-18.0,-4.25017249695,219.14620687,4.1900141799,-10.083776179700001
AES,0.40605156038,0.987913669065,4.46474025829,0.44,0.0520679138209,-19358000.0,,0.9318181818179999,9.183065,0.208845625418,2.92618753515,20.8706022727,-0.35681997434,2.0450444429599997,0.83039348711,4.958677685950001,,54.5544485012,Utilities,2.39071719977,94.87204495389999,0.0,57.4982797773,-323.035145025,-54.2800427697,-51.8962732574
AET,1.1293872989899998,0.8228207861,0.0,6.78,-4.16578677699,1869200.0,,0.0,105.22551000000001,0.9691078071439999,9.51099813335,15.519986725699999,0.8013956781980001,3.9614495371800005,4.474010792880001,14.773837044,,60.1657060976,Health Care,1.9518657586500001,60.5660031485,-55.0,-85.6683321687,167.758803253,-67.9592936657,-54.5246353351
EMN,0.618025751073,1.3998054474700001,2.4104231226299997,5.66,-10.44289863,-4670100.0,15.0424176043,0.293286219081,68.867577,0.7545274172750001,6.344676886569999,12.1674164311,0.876406661776,8.78938640133,5.43206713215,21.0892812733,14.344941956900001,54.4516623701,Materials,1.8519757729799997,35.3160062447,-62.0,-46.1138561997,-2.92504124059,-55.1196498659,-36.611351539
ESRX,1.91107237906,0.702960601097,0.0,3.56,-17.3092372814,-14489800.0,23.866393784699998,0.0,86.82,1.6595231464500002,12.3525506485,24.3876404494,0.69981924768,2.4337652994799996,4.6511016409599995,14.2481516642,4.264592862240001,68.8031802837,Health Care,1.71560154898,74.1539692308,-41.0,-77.47964812800001,133.820532541,-45.132736111899995,-40.938192037600004
AMAT,0.630977266789,2.43838862559,0.5348425305919999,1.12,-5.46332750437,26918100.0,1.7590065453200001,0.08928571428570001,18.697092,1.9794942208000001,19.5906951689,16.6938321429,0.580945358571,14.2561341754,8.99529657695,18.0874819388,17.527694378299998,44.2875990901,Information Technology,2.11792996434,51.2397640095,-38.0,-46.735264036400004,-74.1439655745,-40.3758657159,45.928651009
AEE,0.257952622673,0.9159101767799999,4.07159813056,2.59,5.621106348830001,-88900.0,0.536328194223,0.6389961389959999,40.64743,0.45710237905699996,4.88308624766,15.693988417,1.98239853688,10.3312561496,2.66497461929,8.88826185102,20.6461134798,51.8429841601,Utilities,1.29797693891,62.9167689904,25.0,18.433390001,1139.12498449,0.067699184621,-19.726728483
CTAS,1.06784226922,2.7949193151,1.8690087413099998,3.63,-5.42559074383,1792000.0,-13.863894909,0.468319559229,90.957306,2.98018491568,18.3420275321,25.057109090900003,1.3176583228799998,9.61869478026,10.2712488611,22.283468437800003,15.5556116461,36.1360468254,Industrials,1.50761022959,59.0277346504,-33.0,63.3443328698,-13.9003915339,44.1934890637,40.4981341532
EMR,1.00977906556,1.28833333333,4.06065723379,3.99,-4.87143958539,-23236000.0,,0.471177944862,46.297924,2.1898531603499998,12.3719343437,11.603489724300001,0.366235144424,12.150286944000001,12.2691053966,33.3415354331,,53.9659745437,Industrials,1.69218558618,82.2336143835,-53.0,-24.358221808299998,-76.0691356828,5.95401851299,-5.23219485389
FDX,1.28012625105,1.8366627497099999,0.508316690092,3.65,-11.195396286900001,-8100200.0,-11.070713335699999,0.219178082192,157.382202,1.4328055195200002,8.307388245110001,43.1184115068,-0.938868637649,2.20850104314,2.82716016078,6.989928633360001,3.9344193201699995,64.3948071134,Industrials,1.9848501041799997,65.0307288585,-46.0,181.083828802,-161.348394116,-30.675030961399997,-36.3662198152
CRM,0.502533904948,0.8086534643950001,0.0,-0.42,-12.7040813086,-5715900.0,-1.5343044378,-0.0,81.010002,8.03878876144,43.1685341318,-192.880957143,-25.0745244286,-4.88850462243,-2.4566393172599996,-6.60819891814,-2.71016412504,48.6248621971,Information Technology,1.6744678018299999,59.5330581841,-46.0,-715.422101211,-1215.9875146,142.135498835,221.557040094
PX,0.588241716251,1.38721605917,2.70133334981,5.35,-1.8261652026599997,-6262700.0,0.902200874141,0.534579439252,105.87364199999999,1.84993974409,11.3300187309,19.7894657944,-2.98404313163,14.355976243499999,8.44478410394,32.2762361778,21.5386043059,43.027639030900005,Materials,1.26076826656,19.6866588349,-52.0,-12.3578940882,-430.526770931,10.037013288999999,13.1963986868
PG,0.589049770261,0.995166163142,3.63285987117,2.44,3.04373793584,13867800.0,2.8018810763200004,1.0614754098399999,71.29369399999999,1.93834758232,13.2299387798,29.2187270492,-0.746287232275,8.88448983337,5.23340669524,10.7486122125,15.456416575999999,47.3830440838,Consumer Staples,1.1793503238299998,50.779002892200005,-59.0,33.6532838659,-268.93801455,-26.9757131713,-4.11364888075
PH,1.0338922932899999,2.37565241072,2.3795339597400003,6.97,-0.628990769017,-3717200.0,-0.706060579957,0.340028694405,99.599335,1.43173632435,10.9363516428,14.2897180775,9.81703631923,7.96224341837,8.23210210754,19.8164723766,14.4624687218,50.458478130699994,Industrials,1.82885302604,53.9326052603,-36.0,-6.84701663732,541.473566176,-30.72676298,-16.228617716
PM,2.17658145836,1.0271675549200001,4.99193166688,4.42,1.70628843917,-6052600.0,1.19172163916,0.9140271493209999,80.930595,6.77680367346,16.0006667789,18.3100893665,-2.5634125113099997,9.299399253130002,20.2408999882,-59.8902056466,14.3732748823,56.8798484353,Consumer Staples,1.22049584402,64.2236665499,-48.0,-16.245373469100002,-680.2830350080001,155.305735538,15.9676985994
EFX,0.590729651807,0.9301093077179999,1.0551177312200002,3.55,-3.99568893393,1599200.0,0.935919851607,0.32676056338000004,109.94033799999998,3.3463017444,17.6094563701,30.9691092958,1.5858319760100001,16.1097762427,9.516522510529999,18.2564669843,26.051208890199998,42.302893635100006,Industrials,1.69559506768,61.578032190900004,19.0,101.883963515,3.62285112607,61.90771299,34.8867108129
C,0.04410441252069999,,0.0,5.4,-17.811732016500002,-88991100.0,,0.0,53.597488,,4.0511538156,9.925460740739998,0.0682375425926,21.2811378579,0.938592082994,7.28354221577,,50.219265810900005,Financials,2.2715573432,23.2144443969,-54.0,-39.9563304645,-98.4785480691,,-63.2353208746
MHK,0.81183539448,0.9972212573810001,0.0,8.31,-11.4948012646,462300.0,-0.00119095359696,0.0,191.020004,2.1004457626299997,15.3946709481,22.986763417600002,1.57220787526,7.620680158230001,6.186737882459999,12.654296161,10.3767510704,45.1583382004,Consumer Discretionary,1.7513713621400002,11.5806827421,-38.0,-7.52954166237,249.075945212,-24.169299150500002,156.182059545
COTY,0.7302330990710001,1.21635434412,0.751079065905,0.64,-5.15020709644,-2364900.0,-418.30312378699995,0.3125,26.628355,2.0879300284099997,17.8233768547,41.6068046875,-0.12019743576400001,5.28986166727,3.86283207895,23.611252158000003,8.98935202039,50.154541103,Consumer Staples,2.1617620733000003,7.85112412359,-6.0,90.31924519809999,-127.20925037100001,-21.3404228099,29.178116366799998
QCOM,0.497696669029,3.6227868852499996,3.9302142425300004,3.22,-7.76155563886,-38056600.0,5.16050410201,0.55900621118,45.79903,1.65677311217,13.449170181900001,14.2233012422,-0.462505949485,20.8496499347,10.3768013229,16.7791430572,22.847197500100002,65.2381597609,Information Technology,2.55495284996,78.0248549657,-42.0,-54.617946393900006,-120.584672165,-50.0965138063,0.181195456032
XRX,0.713180481122,1.2723639132100002,1.04186934281,0.42,-11.288807152999999,-30946700.0,-5.59385540125,0.666666666667,26.874771000000003,1.55038075449,18.826876908800003,63.98755,-1.32897219231,2.67811740776,1.90998106137,5.19907864429,0.5876038194250001,56.8527746232,Information Technology,2.02418424389,82.385345501,-48.0,104.16402456600001,-159.148335119,-53.301146663800004,40.2390638169
ULTA,1.6344382982799999,3.5049389033199994,0.0,3.98,-2.3945908108099996,-280800.0,1.18295297215,0.0,165.830002,6.56586103211,26.8794488821,41.6658296482,1.58129353484,7.93291353129,12.9658576925,20.6118753452,12.6617796369,64.1336355738,Consumer Discretionary,2.49389734607,52.708279557299996,-11.0,67.6120424003,251.093226297,137.041990136,347.299756994
MOS,0.5108600767270001,2.02348288825,3.6040118317500003,2.78,-13.301915624000001,-32829900.0,1.41937809644,0.386690647482,29.827871000000002,0.696120800258,5.91683424831,10.72945,2.8754926,11.2463885423,5.7453309136,10.458964976499999,14.3761312154,61.9305273693,Materials,3.20492521108,12.2807470658,1.0,-52.4822143738,218.50319918,-58.5937574488,-40.8858586697
MON,0.684352189781,2.05234691907,2.15302121631,4.81,-8.00538043297,-16935900.0,2.51489490094,0.417879417879,93.357185,2.6603335210099996,14.331391294200001,19.4089781705,-2.4710942939,15.425638290799998,10.5565693431,33.0335474661,23.485100993299998,66.9279479394,Materials,1.42185668277,82.3231842884,-61.0,-14.0429692176,-373.71012468699996,58.2403729313,43.1826302495
MCHP,0.449103721558,7.52776208288,3.0748348781299994,1.65,-4.53375241958,-9902800.0,-0.648292036539,0.863636363636,46.343952,2.09955902385,12.887459771300001,28.0872436364,-3.0069872598900003,17.186903247100002,7.718702210319999,17.9041409473,19.8236079879,60.194543366400005,Information Technology,1.9581628104299997,54.9858957096,-47.0,-10.382493160700001,-233.831461017,-36.7594065898,-4.002915509069999
ETR,-0.00545504255865,1.316332455,5.43041705034,-0.99,4.73960053759,-6280400.0,-4.4194276856300005,-3.37373737374,61.505405,0.263951165268,3.33290676295,-62.126671717200004,0.522224197043,72.4936872575,-0.39545614922300004,-1.9073780535799998,122.83262507399999,64.58252636520001,Utilities,1.53812568745,77.91556340140001,-54.0,-568.83380728,226.42328877,-42.216477061599996,-45.2101978229
KMB,1.2525939900299998,0.8546227752399999,3.10862806697,2.77,1.34327275834,4647700.0,6.27015225679,1.27075812274,113.233231,4.85822276843,17.8928386697,40.8784227437,-1.30038447153,5.44887311064,6.82522571082,2532.5,8.67624119197,63.4480440701,Consumer Staples,1.32759319624,78.336628278,17.0,86.98745601600001,-394.36972960400004,83.02612810800001,29.681553313200002
DVA,0.745270005874,1.87704083717,0.0,1.25,-3.29937603356,-11160100.0,-5.02112574122,0.0,73.519997,0.968911389322,10.0274345791,58.8159976,-0.941621500038,1.9547807125999999,1.45683943316,5.30532798654,8.4841694954,54.182494026099995,Health Care,1.29065308162,68.085035461,0.0,-45.6873671562,-414.610438796,-67.9657876447,-52.055374447
GWW,1.7025949361100001,1.7045479705700002,2.38862399245,11.58,-2.4137456049900003,-3025600.0,-41.0590466625,0.39637305699500003,192.160843,3.07591021073,12.6442144123,16.5942006045,14.615661301600001,7.6347005189,12.9988024422,32.3642397673,13.0379016791,70.1305477591,Industrials,1.3997210201399999,79.62083890529999,-47.0,8.17563260843,855.029611007,48.8250688735,-3.1465561997400004
FISV,0.562526766595,1.00266311585,0.0,2.99,3.1817231924500002,-5280100.0,2.2492790575,0.0,97.199997,2.9044733931200004,16.913270769100002,32.508360200700004,96.87491339799999,13.551579748800002,7.6231263383300005,26.766917293200002,24.9524172059,45.160231464300004,Information Technology,1.46905716377,0.0,-27.0,3.7238908287699997,4211.59498709,-12.5146667284,25.9848497572
COF,0.0700887297634,,1.96062574652,7.07,-9.933483287489999,-11825100.0,,0.21216407355,76.506187,,4.09114671731,10.8212428571,-1.5794852554899999,16.5378208687,1.15911485774,8.18881651299,,47.554839415699995,Financials,2.09453439095,0.0,-41.0,-34.5373331225,-135.21684399,,-62.872380767799996
PEG,0.277474357267,0.9773426573430001,4.2860568170099995,3.3,6.95271316286,-14096300.0,-2.9870935939099996,0.472727272727,36.397090999999996,0.54201537412,4.696821154659999,11.0294215152,1.06380549453,16.1209793567,4.47315838551,12.849162011199999,28.439750360100003,64.1276860918,Utilities,1.3131048753399999,82.2658778017,-26.0,-16.767379643599998,564.9459946540001,18.6566377598,-22.788748612600003
ETN,0.6720698656180001,1.43048648649,4.03206008268,4.23,-3.49731253144,-26053200.0,0.718233939404,0.520094562648,54.562679,0.962165833442,10.7157110915,12.898978487,1.0319182789599999,9.48933109566,6.37749347427,12.9932374762,15.0227763126,60.080417486,Industrials,1.74833390803,64.9717753479,-64.0,-15.9130836676,-32.5714730106,-53.446496607700006,-17.9187027258
COL,0.709703613479,1.5079291044799998,1.3945827896399998,5.13,-11.646811326199998,-3170700.0,1.26950535441,0.245614035088,90.349602,2.2768661950599998,15.9441431149,17.6120081871,1.09640952376,13.0816170862,9.28407091623,36.4893617021,21.090770404300002,60.357615966000004,Industrials,1.56685771514,80.6264078505,-29.0,14.810599953399999,-28.357428420599998,10.1640636688,22.1305744085
COO,0.40288211702,1.4790221584999999,0.0202858286785,4.14,-1.5776706694,-3947200.0,-4.93287404071,0.007246376811590001,147.88648999999998,1.8415460829099999,18.3294431946,35.7213743961,-1.4366771746200002,11.3250792944,4.56267192155,7.6114550111,13.169606588399999,50.454020883000005,Health Care,2.1023778546000003,10.9648903355,-37.0,-67.01370424,-580.016265874,-39.1146817633,-12.360605933199999
KMX,1.08111067561,2.60640631064,0.0,2.73,-18.6029290605,-33633900.0,,0.0,57.259997999999996,1.0120682949700002,-12.754768063,20.9743582418,0.794817786003,4.1864874176499995,4.52605624054,18.9229865195,,57.1602121677,Consumer Discretionary,2.53360723812,33.3333664303,-13.0,-15.6249844869,76.4727007714,-63.462113861599995,-312.251548761
DLTR,2.41160639193,2.31499535747,0.0,2.9,6.164208674380001,-1992900.0,0.741320229588,0.0,75.970001,5.78215144094,16.878541765599998,26.196552069000003,3.95859009042,6.965659947460001,16.7984300533,33.568627451,12.092255469500001,57.7052794216,Consumer Discretionary,1.64363572058,40.7943306962,-69.0,5.38269928125,778.9223099999999,108.74835427100001,180.87509023200002
